order,target,removed_params,params_left,n_dead,deleted_nll,recovered_nll,d_mnat,r32_ref_params_left,r32_ref_d_mnat,dead
quench_asc,186384,190336,15792,65,3.0551223754882812,2.724393367767334,248.2593059539795,13536,186.48695945739746,ngrp.L3.7;ngrp.L2.7;ngrp.L1.7;ngrp.L2.6;ngrp.L2.5;ngrp.L0.7;qk.L1.2;ngrp.L1.6;ngrp.L2.4;ngrp.L1.5;ngrp.L0.6;head.L1.2;qk.L2.3;ngrp.L1.3;ngrp.L3.6;ngrp.L1.4;head.L2.3;ngrp.L0.5;ngrp.L2.3;qk.L2.0;qk.L3.0;qk.L2.2;ngrp.L0.4;ngrp.L1.2;qk.L3.2;head.L2.0;ngrp.L0.3;head.L3.0;qk.L2.1;head.L3.1;head.L3.2;ngrp.L2.2;qk.L0.3;qk.L3.1;head.L2.2;head.L2.1;qk.L0.2;ngrp.L1.1;ngrp.L0.2;ngrp.L3.5;head.L3.3;qk.L3.3;qk.L1.0;head.L0.3;qk.L1.3;ngrp.L2.1;head.L1.3;head.L1.0;ngrp.L0.1;qk.L0.1;head.L0.2;ngrp.L3.4;ngrp.L3.3;qk.L1.1;head.L0.1;attn.L2;ngrp.L1.0;head.L1.1;ngrp.L3.2;ngrp.L0.0;attn.L3;qk.L0.0;head.L0.0;mlp.L1;ngrp.L3.1
quench_asc,192592,194464,11664,66,3.3790981769561768,2.893705129623413,417.5710678100586,13536,186.48695945739746,ngrp.L3.7;ngrp.L2.7;ngrp.L1.7;ngrp.L2.6;ngrp.L2.5;ngrp.L0.7;qk.L1.2;ngrp.L1.6;ngrp.L2.4;ngrp.L1.5;ngrp.L0.6;head.L1.2;qk.L2.3;ngrp.L1.3;ngrp.L3.6;ngrp.L1.4;head.L2.3;ngrp.L0.5;ngrp.L2.3;qk.L2.0;qk.L3.0;qk.L2.2;ngrp.L0.4;ngrp.L1.2;qk.L3.2;head.L2.0;ngrp.L0.3;head.L3.0;qk.L2.1;head.L3.1;head.L3.2;ngrp.L2.2;qk.L0.3;qk.L3.1;head.L2.2;head.L2.1;qk.L0.2;ngrp.L1.1;ngrp.L0.2;ngrp.L3.5;head.L3.3;qk.L3.3;qk.L1.0;head.L0.3;qk.L1.3;ngrp.L2.1;head.L1.3;head.L1.0;ngrp.L0.1;qk.L0.1;head.L0.2;ngrp.L3.4;ngrp.L3.3;qk.L1.1;head.L0.1;attn.L2;ngrp.L1.0;head.L1.1;ngrp.L3.2;ngrp.L0.0;attn.L3;qk.L0.0;head.L0.0;mlp.L1;ngrp.L3.1;ngrp.L2.0
random,6208,6208,199920,2,2.476318359375,2.4758124351501465,-0.3216266632080078,199920,-1.230001449584961,ngrp.L1.7;qk.L1.2
random,39392,41440,164688,9,2.571591854095459,2.4957563877105713,19.622325897216797,166736,-0.3612041473388672,ngrp.L1.7;qk.L1.2;head.L0.1;ngrp.L2.7;ngrp.L0.6;ngrp.L3.6;qk.L3.3;ngrp.L1.2;attn.L0
random,51792,70400,135728,10,2.657512664794922,2.508391857147217,32.257795333862305,154336,0.5824565887451172,ngrp.L1.7;qk.L1.2;head.L0.1;ngrp.L2.7;ngrp.L0.6;ngrp.L3.6;qk.L3.3;ngrp.L1.2;attn.L0;mlp.L2
random,95216,97376,108752,16,2.689507246017456,2.523003578186035,46.869516372680664,110912,2.9366016387939453,ngrp.L1.7;qk.L1.2;head.L0.1;ngrp.L2.7;ngrp.L0.6;ngrp.L3.6;qk.L3.3;ngrp.L1.2;attn.L0;mlp.L2;head.L2.3;attn.L2;head.L0.0;ngrp.L3.3;qk.L3.1;ngrp.L1.6
random,128256,130480,75648,22,2.9891014099121094,2.632951259613037,156.81719779968262,77872,7.451295852661133,ngrp.L1.7;qk.L1.2;head.L0.1;ngrp.L2.7;ngrp.L0.6;ngrp.L3.6;qk.L3.3;ngrp.L1.2;attn.L0;mlp.L2;head.L2.3;attn.L2;head.L0.0;ngrp.L3.3;qk.L3.1;ngrp.L1.6;mlp.L1;head.L2.2;qk.L1.1;head.L1.1;ngrp.L0.0;ngrp.L3.2
random,140656,151216,54912,26,3.052839994430542,2.6594648361206055,183.33077430725098,65472,13.688087463378906,ngrp.L1.7;qk.L1.2;head.L0.1;ngrp.L2.7;ngrp.L0.6;ngrp.L3.6;qk.L3.3;ngrp.L1.2;attn.L0;mlp.L2;head.L2.3;attn.L2;head.L0.0;ngrp.L3.3;qk.L3.1;ngrp.L1.6;mlp.L1;head.L2.2;qk.L1.1;head.L1.1;ngrp.L0.0;ngrp.L3.2;qk.L0.2;ngrp.L3.7;ngrp.L3.4;attn.L3
random,165520,165696,40432,38,3.1199147701263428,2.706491470336914,230.35740852355957,40608,33.22958946228027,ngrp.L1.7;qk.L1.2;head.L0.1;ngrp.L2.7;ngrp.L0.6;ngrp.L3.6;qk.L3.3;ngrp.L1.2;attn.L0;mlp.L2;head.L2.3;attn.L2;head.L0.0;ngrp.L3.3;qk.L3.1;ngrp.L1.6;mlp.L1;head.L2.2;qk.L1.1;head.L1.1;ngrp.L0.0;ngrp.L3.2;qk.L0.2;ngrp.L3.7;ngrp.L3.4;attn.L3;ngrp.L0.1;ngrp.L0.7;ngrp.L2.1;ngrp.L1.0;head.L3.0;qk.L1.0;qk.L2.3;qk.L0.3;qk.L0.1;qk.L2.0;head.L1.2;qk.L1.3
random,186384,186400,19728,54,3.2890994548797607,2.7847867012023926,308.6526393890381,19744,133.83936882019043,ngrp.L1.7;qk.L1.2;head.L0.1;ngrp.L2.7;ngrp.L0.6;ngrp.L3.6;qk.L3.3;ngrp.L1.2;attn.L0;mlp.L2;head.L2.3;attn.L2;head.L0.0;ngrp.L3.3;qk.L3.1;ngrp.L1.6;mlp.L1;head.L2.2;qk.L1.1;head.L1.1;ngrp.L0.0;ngrp.L3.2;qk.L0.2;ngrp.L3.7;ngrp.L3.4;attn.L3;ngrp.L0.1;ngrp.L0.7;ngrp.L2.1;ngrp.L1.0;head.L3.0;qk.L1.0;qk.L2.3;qk.L0.3;qk.L0.1;qk.L2.0;head.L1.2;qk.L1.3;qk.L0.0;head.L0.2;head.L1.0;attn.L1;qk.L2.1;ngrp.L3.5;ngrp.L2.6;ngrp.L2.4;head.L3.2;ngrp.L3.1;ngrp.L0.5;ngrp.L2.3;ngrp.L1.4;head.L1.3;ngrp.L2.0;ngrp.L0.4
random,192592,194720,11408,55,3.3648526668548584,2.916226625442505,440.0925636291504,13536,186.48695945739746,ngrp.L1.7;qk.L1.2;head.L0.1;ngrp.L2.7;ngrp.L0.6;ngrp.L3.6;qk.L3.3;ngrp.L1.2;attn.L0;mlp.L2;head.L2.3;attn.L2;head.L0.0;ngrp.L3.3;qk.L3.1;ngrp.L1.6;mlp.L1;head.L2.2;qk.L1.1;head.L1.1;ngrp.L0.0;ngrp.L3.2;qk.L0.2;ngrp.L3.7;ngrp.L3.4;attn.L3;ngrp.L0.1;ngrp.L0.7;ngrp.L2.1;ngrp.L1.0;head.L3.0;qk.L1.0;qk.L2.3;qk.L0.3;qk.L0.1;qk.L2.0;head.L1.2;qk.L1.3;qk.L0.0;head.L0.2;head.L1.0;attn.L1;qk.L2.1;ngrp.L3.5;ngrp.L2.6;ngrp.L2.4;head.L3.2;ngrp.L3.1;ngrp.L0.5;ngrp.L2.3;ngrp.L1.4;head.L1.3;ngrp.L2.0;ngrp.L0.4;mlp.L0
